1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	1
36	0
37	0
38	0
39	0
40	0
41	0
42	1
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	1
51	0
52	1
53	0
54	1
55	0
56	1
57	1
58	0
59	37
60	64
61	60
62	66
63	68
64	86
65	68
66	67
67	67
68	70
69	69
70	56
71	67
72	66
73	71
74	55
75	58
76	57
77	64
78	63
79	72
80	78
81	70
82	66
83	50
84	56
85	65
86	69
87	49
88	56
89	57
90	72
91	58
92	57
93	81
94	58
95	61
96	78
97	58
98	57
99	71
100	70
101	64
102	67
103	62
104	69
105	66
106	64
107	77
108	71
109	77
110	73
111	58
112	71
113	67
114	64
115	73
116	67
117	58
118	59
119	73
120	73
121	66
122	73
123	75
124	78
125	58
126	58
127	71
128	81
129	73
130	73
131	76
132	77
133	68
134	60
135	56
136	95
137	72
138	70
139	63
140	66
141	63
142	76
143	68
144	68
145	58
146	76
147	87
148	81
149	69
150	59
151	72
152	66
153	71
154	69
155	63
156	67
157	74
158	73
159	95
160	64
161	79
162	67
163	83
164	62
165	67
166	77
167	76
168	70
169	74
170	77
171	73
172	83
173	75
174	75
175	79
176	67
177	75
178	83
179	76
180	79
181	76
182	66
183	68
184	85
185	69
186	62
187	77
188	78
189	70
190	70
191	69
192	68
193	86
194	73
195	81
196	74
197	82
198	85
199	84
200	82
201	86
202	72
203	79
204	84
205	79
206	70
207	60
208	80
209	82
210	73
211	79
212	79
213	68
214	82
215	79
216	75
217	75
218	57
219	81
220	80
221	64
222	64
223	76
224	87
225	75
226	78
227	59
228	95
229	84
230	67
231	75
232	72
233	70
234	70
235	69
236	85
237	90
238	78
239	71
240	82
241	81
242	91
243	82
244	81
245	84
246	76
247	91
248	77
249	76
250	81
251	90
252	97
253	92
254	93
255	77
256	88
257	70
258	98
259	73
260	100
261	69
262	78
263	79
264	77
265	85
266	85
267	83
268	82
269	76
270	68
271	90
272	68
273	92
274	89
275	80
276	88
277	90
278	88
279	79
280	96
281	75
